mets,InChIKeys,InChIs,SMILES
2maacoa,InChIKey=NHNODHRSCRALBF-NQNBQJKNSA-J,"InChI=1S/C26H42N7O18P3S/c1-13(14(2)34)25(39)55-8-7-28-16(35)5-6-29-23(38)20(37)26(3,4)10-48-54(45,46)51-53(43,44)47-9-15-19(50-52(40,41)42)18(36)24(49-15)33-12-32-17-21(27)30-11-31-22(17)33/h11-13,15,18-20,24,36-37H,5-10H2,1-4H3,(H,28,35)(H,29,38)(H,43,44)(H,45,46)(H2,27,30,31)(H2,40,41,42)/p-4/t13?,15-,18-,19-,20+,24-/m1/s1",CC(C(=O)C)C(=O)SCCN=C(CCN=C([C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)OP(=O)([O-])[O-])O)[O-])[O-]
2mb2coa,InChIKey=PMWATMXOQQZNBX-SMRBIBNPSA-J,"InChI=1S/C26H42N7O17P3S/c1-5-14(2)25(38)54-9-8-28-16(34)6-7-29-23(37)20(36)26(3,4)11-47-53(44,45)50-52(42,43)46-10-15-19(49-51(39,40)41)18(35)24(48-15)33-13-32-17-21(27)30-12-31-22(17)33/h5,12-13,15,18-20,24,35-36H,6-11H2,1-4H3,(H,28,34)(H,29,37)(H,42,43)(H,44,45)(H2,27,30,31)(H2,39,40,41)/p-4/b14-5+/t15-,18-,19-,20+,24-/m0/s1",C/C=C(\C)/C(=O)SCCN=C(CCN=C([C@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1[C@@H]([C@@H]([C@@H](n2cnc3c(N)ncnc23)O1)O)OP(=O)([O-])[O-])O)[O-])[O-]
2mcit,InChIKey=YNOXCRMFGMSKIJ-NFNCENRGSA-K,"InChI=1S/C7H10O7/c1-3(5(10)11)7(14,6(12)13)2-4(8)9/h3,14H,2H2,1H3,(H,8,9)(H,10,11)(H,12,13)/p-3/t3-,7+/m1/s1",C[C@H](C(=O)[O-])[C@@](CC(=O)[O-])(C(=O)[O-])O
2mop,InChIKey=VOKUMXABRRXHAR-UHFFFAOYSA-M,"InChI=1S/C4H6O3/c1-3(2-5)4(6)7/h2-3H,1H3,(H,6,7)/p-1",CC(C=O)C(=O)[O-]
2mp2coa,InChIKey=NPALUEYCDZWBOV-NDZSKPAWSA-J,"InChI=1S/C25H40N7O17P3S/c1-13(2)24(37)53-8-7-27-15(33)5-6-28-22(36)19(35)25(3,4)10-46-52(43,44)49-51(41,42)45-9-14-18(48-50(38,39)40)17(34)23(47-14)32-12-31-16-20(26)29-11-30-21(16)32/h11-12,14,17-19,23,34-35H,1,5-10H2,2-4H3,(H,27,33)(H,28,36)(H,41,42)(H,43,44)(H2,26,29,30)(H2,38,39,40)/p-4/t14-,17-,18-,19+,23-/m1/s1",C=C(C)C(=O)SCCN=C(CCN=C([C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)OP(=O)([O-])[O-])O)[O-])[O-]
2obut,InChIKey=TYEYBOSBBBHJIV-UHFFFAOYSA-M,"InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)/p-1",CCC(=O)C(=O)[O-]
2oxoadp,InChIKey=FGSBNBBHOZHUBO-UHFFFAOYSA-L,"InChI=1S/C6H8O5/c7-4(6(10)11)2-1-3-5(8)9/h1-3H2,(H,8,9)(H,10,11)/p-2",C(CC(=O)C(=O)[O-])CC(=O)[O-]
2pg,InChIKey=GXIURPTVHJPJLF-UWTATZPHSA-K,"InChI=1S/C3H7O7P/c4-1-2(3(5)6)10-11(7,8)9/h2,4H,1H2,(H,5,6)(H2,7,8,9)/p-3/t2-/m1/s1",C([C@H](C(=O)[O-])OP(=O)([O-])[O-])O
34dhphe,InChIKey=WTDRDQBEARUVNC-LURJTMIESA-N,"InChI=1S/C9H11NO4/c10-6(9(13)14)3-5-1-2-7(11)8(12)4-5/h1-2,4,6,11-12H,3,10H2,(H,13,14)/t6-/m0/s1",c1c(O)c(cc(c1)C[C@@H](C(=O)O)N)O
34hpp,InChIKey=KKADPXVIOXHVKN-UHFFFAOYSA-M,"InChI=1S/C9H8O4/c10-7-3-1-6(2-4-7)5-8(11)9(12)13/h1-4,10H,5H2,(H,12,13)/p-1",c1cc(ccc1CC(=O)C(=O)O)[O-]
3dsphgn,InChIKey=KBUNOSOGGAARKZ-KRWDZBQOSA-O,"InChI=1S/C18H37NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-18(21)17(19)16-20/h17,20H,2-16,19H2,1H3/p+1/t17-/m0/s1",CCCCCCCCCCCCCCCC(=O)[C@H](CO)[NH3+]
3hibutcoa,InChIKey=WWEOGFZEFHPUAM-UQCJFRAESA-J,"InChI=1S/C25H42N7O18P3S/c1-13(8-33)24(38)54-7-6-27-15(34)4-5-28-22(37)19(36)25(2,3)10-47-53(44,45)50-52(42,43)46-9-14-18(49-51(39,40)41)17(35)23(48-14)32-12-31-16-20(26)29-11-30-21(16)32/h11-14,17-19,23,33,35-36H,4-10H2,1-3H3,(H,27,34)(H,28,37)(H,42,43)(H,44,45)(H2,26,29,30)(H2,39,40,41)/p-4/t13-,14+,17+,18+,19-,23+/m0/s1",C[C@@H](CO)C(=O)SCCN=C(CCN=C([C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)OP(=O)([O-])[O-])O)[O-])[O-]
3hmbcoa,InChIKey=PEKYNTFSOBAABV-LQUDNSJZSA-J,"InChI=1S/C26H44N7O18P3S/c1-13(14(2)34)25(39)55-8-7-28-16(35)5-6-29-23(38)20(37)26(3,4)10-48-54(45,46)51-53(43,44)47-9-15-19(50-52(40,41)42)18(36)24(49-15)33-12-32-17-21(27)30-11-31-22(17)33/h11-15,18-20,24,34,36-37H,5-10H2,1-4H3,(H,28,35)(H,29,38)(H,43,44)(H,45,46)(H2,27,30,31)(H2,40,41,42)/p-4/t13-,14-,15+,18+,19+,20-,24+/m0/s1",C[C@@H]([C@H](C)O)C(=O)SCCN=C(CCN=C([C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)OP(=O)([O-])[O-])O)[O-])[O-]
3hmp,InChIKey=DBXBTMSZEOQQDU-VKHMYHEASA-M,"InChI=1S/C4H8O3/c1-3(2-5)4(6)7/h3,5H,2H2,1H3,(H,6,7)/p-1/t3-/m0/s1",C[C@@H](CO)C(=O)[O-]
3hpcoa,InChIKey=BERBFZCUSMQABM-IEXPHMLFSA-J,"InChI=1S/C24H40N7O18P3S/c1-24(2,19(36)22(37)27-5-3-14(33)26-6-8-53-15(34)4-7-32)10-46-52(43,44)49-51(41,42)45-9-13-18(48-50(38,39)40)17(35)23(47-13)31-12-30-16-20(25)28-11-29-21(16)31/h11-13,17-19,23,32,35-36H,3-10H2,1-2H3,(H,26,33)(H,27,37)(H,41,42)(H,43,44)(H2,25,28,29)(H2,38,39,40)/p-4/t13-,17-,18-,19+,23-/m1/s1",CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)OP(=O)([O-])[O-])[C@H](C(=NCCC(=NCCSC(=O)CCO)[O-])[O-])O
3hpp,InChIKey=ALRHLSYJTWAHJZ-UHFFFAOYSA-M,"InChI=1S/C3H6O3/c4-2-1-3(5)6/h4H,1-2H2,(H,5,6)/p-1",C(CO)C(=O)[O-]
3mhis,InChIKey=JDHILDINMRGULE-LURJTMIESA-N,"InChI=1S/C7H11N3O2/c1-10-4-9-3-5(10)2-6(8)7(11)12/h3-4,6H,2,8H2,1H3,(H,11,12)/t6-/m0/s1",C([C@H](N)C(=O)O)c1cncn1C
3mob,InChIKey=QHKABHOOEWYVLI-UHFFFAOYSA-M,"InChI=1S/C5H8O3/c1-3(2)4(6)5(7)8/h3H,1-2H3,(H,7,8)/p-1",CC(C)C(=O)C(=O)[O-]
3mop,InChIKey=JVQYSWDUAOAHFM-BYPYZUCNSA-M,"InChI=1S/C6H10O3/c1-3-4(2)5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)/p-1/t4-/m0/s1",CC[C@H](C)C(=O)C(=O)[O-]
3mtp,InChIKey=AIILTVHCLAEMDA-UHFFFAOYSA-N,"InChI=1S/C4H8OS/c1-3-4(5)6-2/h3H2,1-2H3",CCC(=O)SC
3ohodcoa,InChIKey=LGOGWHDPDVAUNY-LFZQUHGESA-J,"InChI=1S/C39H68N7O18P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-27(47)22-30(49)68-21-20-41-29(48)18-19-42-37(52)34(51)39(2,3)24-61-67(58,59)64-66(56,57)60-23-28-33(63-65(53,54)55)32(50)38(62-28)46-26-45-31-35(40)43-25-44-36(31)46/h25-26,28,32-34,38,50-51H,4-24H2,1-3H3,(H,41,48)(H,42,52)(H,56,57)(H,58,59)(H2,40,43,44)(H2,53,54,55)/p-4/t28-,32-,33-,34+,38-/m1/s1",CCCCCCCCCCCCCCCC(=O)CC(=O)SCCN=C(CCN=C([C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)OP(=O)([O-])[O-])O)[O-])[O-]
3pg,InChIKey=OSJPPGNTCRNQQC-UWTATZPHSA-K,"InChI=1S/C3H7O7P/c4-2(3(5)6)1-10-11(7,8)9/h2,4H,1H2,(H,5,6)(H2,7,8,9)/p-3/t2-/m1/s1",C([C@H](C(=O)[O-])O)OP(=O)([O-])[O-]
3sala,InChIKey=ADVPTQAUNPRNPO-REOHCLBHSA-L,"InChI=1S/C3H7NO4S/c4-2(3(5)6)1-9(7)8/h2H,1,4H2,(H,5,6)(H,7,8)/p-2/t2-/m0/s1",C([C@@H](C(=O)[O-])N)S(=O)[O-]
3spyr,InChIKey=BUTHMSUEBYPMKJ-UHFFFAOYSA-L,"InChI=1S/C3H4O6S/c4-2(3(5)6)1-10(7,8)9/h1H2,(H,5,6)(H,7,8,9)/p-2",C(C(=O)C(=O)[O-])S(=O)(=O)[O-]
4abut,InChIKey=BTCSSZJGUNDROE-UHFFFAOYSA-N,"InChI=1S/C4H9NO2/c5-3-1-2-4(6)7/h1-3,5H2,(H,6,7)",C(C(=O)O)CCN
4glu56dihdind,InChIKey=OWLBFEJNNSEXED-ONGXEEELSA-M,"InChI=1S/C18H24N4O8S/c19-9(18(29)30)1-2-13(24)22-11(17(28)21-6-14(25)26)7-31-16-8-3-4-20-10(8)5-12(23)15(16)27/h5,9,11,20,23,27H,1-4,6-7,19H2,(H,21,28)(H,22,24)(H,25,26)(H,29,30)/p-1/t9-,11-/m0/s1",C(CC(=N[C@@H](CSc1c2CCNc2cc(c1O)[O-])C(=NCC(=O)O)O)O)[C@@H](C(=O)O)N
4hpro_LT,InChIKey=PMMYEEVYMWASQN-DMTCNVIQSA-N,"InChI=1S/C5H9NO3/c7-3-1-4(5(8)9)6-2-3/h3-4,6-7H,1-2H2,(H,8,9)/t3-,4+/m1/s1",[C@H]1(C[C@H](CN1)O)C(=O)O
4mop,InChIKey=BKAJNAXTPSGJCU-UHFFFAOYSA-M,"InChI=1S/C6H10O3/c1-4(2)3-5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)/p-1",CC(C)CC(=O)C(=O)[O-]
4mtob,InChIKey=SXFSQZDSUWACKX-UHFFFAOYSA-M,"InChI=1S/C5H8O3S/c1-9-3-2-4(6)5(7)8/h2-3H2,1H3,(H,7,8)/p-1",CSCCC(=O)C(=O)[O-]
4ohbut,InChIKey=SJZRECIVHVDYJC-UHFFFAOYSA-M,"InChI=1S/C4H8O3/c5-3-1-2-4(6)7/h5H,1-3H2,(H,6,7)/p-1",C(CCO)C(=O)[O-]
56dihindlcrbxlt,InChIKey=YFTGOBNOJKXZJC-UHFFFAOYSA-M,"InChI=1S/C9H7NO4/c11-7-2-4-1-6(9(13)14)10-5(4)3-8(7)12/h1-3,10-12H,(H,13,14)/p-1",c1c2cc(c(cc2[nH]c1C(=O)O)O)[O-]
5cysdopa,InChIKey=BZYHBWCVRKSWDB-ZETCQYMHSA-O,"InChI=1S/C11H16N2O4S/c12-2-1-6-3-8(14)10(15)9(4-6)18-5-7(13)11(16)17/h3-4,7,14-15H,1-2,5,12-13H2,(H,16,17)/p+1/t7-/m0/s1",C(C[NH3+])c1cc(c(c(c1)SC[C@@H](C(=O)O)N)O)O
5htrp,InChIKey=LDCYZAJDBXYCGN-VIFPVBQESA-N,"InChI=1S/C11H12N2O3/c12-9(11(15)16)3-6-5-13-10-2-1-7(14)4-8(6)10/h1-2,4-5,9,13-14H,3,12H2,(H,15,16)/t9-/m0/s1",N[C@@H](Cc1c[nH]c2c1cc(cc2)O)C(=O)O
5mdr1p,InChIKey=JTFITTQBRJDSTL-KVTDHHQDSA-L,"InChI=1S/C6H13O7PS/c1-15-2-3-4(7)5(8)6(12-3)13-14(9,10)11/h3-8H,2H2,1H3,(H2,9,10,11)/p-2/t3-,4-,5-,6-/m1/s1",CSC[C@@H]1[C@H]([C@H]([C@H](O1)OP(=O)([O-])[O-])O)O
5mdru1p,InChIKey=CNSJRYUMVMWNMC-RITPCOANSA-L,"InChI=1S/C6H13O7PS/c1-15-3-5(8)6(9)4(7)2-13-14(10,11)12/h5-6,8-9H,2-3H2,1H3,(H2,10,11,12)/p-2/t5-,6+/m1/s1",CSC[C@H]([C@H](C(=O)COP(=O)([O-])[O-])O)O
5mta,InChIKey=WUUGFSXJNOTRMR-IOSLPCCCSA-N,"InChI=1S/C11H15N5O3S/c1-20-2-5-7(17)8(18)11(19-5)16-4-15-6-9(12)13-3-14-10(6)16/h3-5,7-8,11,17-18H,2H2,1H3,(H2,12,13,14)/t5-,7-,8-,11-/m1/s1",[C@H]1(O[C@@H]([C@H]([C@H]1O)O)CSC)n1c2c(nc1)c(ncn2)N
5mthf,InChIKey=ZNOVTXRBGFNYRX-ABLWVSNPSA-M,"InChI=1S/C20H25N7O6/c1-27-12(9-23-16-15(27)18(31)26-20(21)25-16)8-22-11-4-2-10(3-5-11)17(30)24-13(19(32)33)6-7-14(28)29/h2-5,12-13,22H,6-9H2,1H3,(H,24,30)(H,28,29)(H,32,33)(H4,21,23,25,26,31)/p-1/t12?,13-/m0/s1",CN1C(CNc2ccc(cc2)C(=O)N[C@@H](CCC(=O)[O-])C(=O)O)CNc2c1c(nc(=N)[nH]2)O
6a2ohxnt,InChIKey=GWENQMVPLJAMAE-UHFFFAOYSA-N,"InChI=1S/C6H11NO3/c7-4-2-1-3-5(8)6(9)10/h1-4,7H2,(H,9,10)",OC(=O)C(=O)CCCCN
6hoxmelatn,InChIKey=OMYMRCXOJJZYKE-UHFFFAOYSA-N,"InChI=1S/C13H16N2O3/c1-8(16)14-4-3-9-7-15-11-6-12(17)13(18-2)5-10(9)11/h5-7,15,17H,3-4H2,1-2H3,(H,14,16)",O(C)c1c(O)cc2[nH]cc(CCNC(=O)C)c2c1
6pgc,InChIKey=BIRSGZKFKXLSJQ-SQOUGZDYSA-K,"InChI=1S/C6H13O10P/c7-2(1-16-17(13,14)15)3(8)4(9)5(10)6(11)12/h2-5,7-10H,1H2,(H,11,12)(H2,13,14,15)/p-3/t2-,3-,4+,5-/m1/s1",C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)OP(=O)([O-])[O-]
6pgl,InChIKey=IJOJIVNDFQSGAB-SQOUGZDYSA-L,"InChI=1S/C6H11O9P/c7-3-2(1-14-16(11,12)13)15-6(10)5(9)4(3)8/h2-5,7-9H,1H2,(H2,11,12,13)/p-2/t2-,3-,4+,5-/m1/s1",C([C@@H]1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O)OP(=O)([O-])[O-]
C01601,InChIKey=FBUKVWPVBMHYJY-UHFFFAOYSA-M,"InChI=1S/C9H18O2/c1-2-3-4-5-6-7-8-9(10)11/h2-8H2,1H3,(H,10,11)/p-1",CCCCCCCCC(=O)[O-]
C02712,InChIKey=XUYPXLNMDZIRQH-LURJTMIESA-M,"InChI=1S/C7H13NO3S/c1-5(9)8-6(7(10)11)3-4-12-2/h6H,3-4H2,1-2H3,(H,8,9)(H,10,11)/p-1/t6-/m0/s1",CC(=N[C@@H](CCSC)C(=O)O)[O-]
CE0785,InChIKey=MJBZUCVXTFUVFY-UHFFFAOYSA-J,"InChI=1S/C35H58N7O17P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-26(44)63-19-18-37-25(43)16-17-38-33(47)30(46)35(2,3)21-56-62(53,54)59-61(51,52)55-20-24-29(58-60(48,49)50)28(45)34(57-24)42-23-41-27-31(36)39-22-40-32(27)42/h8-9,11-12,22-24,28-30,34,45-46H,4-7,10,13-21H2,1-3H3,(H,37,43)(H,38,47)(H,51,52)(H,53,54)(H2,36,39,40)(H2,48,49,50)/p-4",CCCCC/C=C\C/C=C\CCCC(=O)SCCN=C(CCN=C(C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(n2cnc3c(N)ncnc23)O1)O)OP(=O)([O-])[O-])O)[O-])[O-]
CE1261,InChIKey=SXISMOAILJWTID-RQJHMYQMSA-N,"InChI=1S/C12H16N2O6S/c13-6(11(17)18)1-5-2-8(15)10(16)9(3-5)21-4-7(14)12(19)20/h2-3,6-7,15-16H,1,4,13-14H2,(H,17,18)(H,19,20)/t6-,7+/m1/s1",S(c1cc(C[C@@H](N)C(=O)O)cc(O)c1O)C[C@H](N)C(=O)O
CE1554,InChIKey=KTHDTJVBEPMMGL-GSVOUGTGSA-N,"InChI=1S/C5H9NO3/c1-3(5(8)9)6-4(2)7/h3H,1-2H3,(H,6,7)(H,8,9)/t3-/m1/s1",OC(=O)[C@H](NC(=O)C)C
CE1556,InChIKey=HXFOXFJUNFFYMO-BYPYZUCNSA-M,"InChI=1S/C6H10N2O4/c1-3(9)8-4(6(11)12)2-5(7)10/h4H,2H2,1H3,(H2,7,10)(H,8,9)(H,11,12)/p-1/t4-/m0/s1",CC(=N[C@@H](CC(=N)O)C(=O)O)[O-]
CE1562,InChIKey=FXURFKFOPCZEKG-UHFFFAOYSA-M,"InChI=1S/C9H5NO4/c11-7-2-4-1-6(9(13)14)10-5(4)3-8(7)12/h1-3,10H,(H,13,14)/p-1",c1c2=CC(=O)C(=O)C=c2[nH]c1C(=O)[O-]
CE2028,InChIKey=AXFYFNCPONWUHW-UHFFFAOYSA-M,"InChI=1S/C5H10O3/c1-5(2,8)3-4(6)7/h8H,3H2,1-2H3,(H,6,7)/p-1",CC(C)(CC(=O)[O-])O
CE2248,InChIKey=WZMAIEGYXCOYSH-FWBOWLIOSA-J,"InChI=1S/C39H70N7O18P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-27(47)22-30(49)68-21-20-41-29(48)18-19-42-37(52)34(51)39(2,3)24-61-67(58,59)64-66(56,57)60-23-28-33(63-65(53,54)55)32(50)38(62-28)46-26-45-31-35(40)43-25-44-36(31)46/h25-28,32-34,38,47,50-51H,4-24H2,1-3H3,(H,41,48)(H,42,52)(H,56,57)(H,58,59)(H2,40,43,44)(H2,53,54,55)/p-4/t27?,28-,32-,33-,34+,38-/m1/s1",CCCCCCCCCCCCCCCC(CC(=O)SCCN=C(CCN=C([C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)OP(=O)([O-])[O-])O)[O-])[O-])O
CE2432,InChIKey=JSDPYDDAJCNOIE-SXLWDNCISA-J,"InChI=1S/C35H56N7O17P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-26(44)63-19-18-37-25(43)16-17-38-33(47)30(46)35(2,3)21-56-62(53,54)59-61(51,52)55-20-24-29(58-60(48,49)50)28(45)34(57-24)42-23-41-27-31(36)39-22-40-32(27)42/h8-9,11-12,14-15,22-24,28-30,34,45-46H,4-7,10,13,16-21H2,1-3H3,(H,37,43)(H,38,47)(H,51,52)(H,53,54)(H2,36,39,40)(H2,48,49,50)/p-4/b9-8+,12-11+,15-14+/t24-,28-,29-,30+,34-/m0/s1",CCCCC/C=C/C/C=C/C/C=C/C(=O)SCCN=C(CCN=C([C@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1[C@@H]([C@@H]([C@@H](n2cnc3c(N)ncnc23)O1)O)OP(=O)([O-])[O-])O)[O-])[O-]
CE4872,InChIKey=USFJGINJGUIFSY-XZULNKEGSA-N,"InChI=1S/C27H46O4/c1-16(15-28)6-5-7-17(2)20-8-9-21-25-22(14-24(31)27(20,21)4)26(3)11-10-19(29)12-18(26)13-23(25)30/h15-25,29-31H,5-14H2,1-4H3/t16?,17-,18+,19-,20-,21+,22+,23-,24+,25+,26+,27-/m1/s1",O[C@@H]1[C@]2(C)[C@@H]([C@@H](CCCC(C)C=O)C)CC[C@H]2[C@@H]2[C@H](O)C[C@H]3[C@@](C)([C@H]2C1)CC[C@@H](O)C3
CE4874,InChIKey=ISDIRLRPWGRAHM-IEUIPJGFSA-N,"InChI=1S/C27H48O5/c1-15(6-5-7-16(2)25(31)32)19-8-9-20-24-21(14-23(30)27(19,20)4)26(3)11-10-18(28)12-17(26)13-22(24)29/h15-25,28-32H,5-14H2,1-4H3/t15-,16?,17+,18-,19-,20+,21+,22-,23+,24?,26?,27?/m0/s1",C[C@@H](CCCC(C)C(O)O)[C@@H]1CC[C@@H]2C3[C@@H](C[C@H](C12C)O)C1(C)CC[C@@H](C[C@@H]1C[C@@H]3O)O
CE4888,InChIKey=SGNZYJXNUURYCH-UHFFFAOYSA-N,"InChI=1S/C8H7NO2/c10-7-3-5-1-2-9-6(5)4-8(7)11/h1-4,9-11H",c12c(cc(c(c1)O)O)[nH]cc2
CE5025,InChIKey=YTAAHCYRCMYQCJ-QWRGUYRKSA-N,"InChI=1S/C18H26N4O8S/c19-4-3-9-5-12(23)16(27)13(6-9)31-8-11(17(28)21-7-15(25)26)22-14(24)2-1-10(20)18(29)30/h5-6,10-11,23,27H,1-4,7-8,19-20H2,(H,21,28)(H,22,24)(H,25,26)(H,29,30)/t10-,11-/m0/s1",C(CC(=N[C@@H](CSc1cc(CCN)cc(c1O)O)C(=NCC(=O)O)O)O)[C@@H](C(=O)O)N
CE5026,InChIKey=QPUCCRKMCAEIND-JRUYECLLSA-M,"InChI=1S/C19H26N4O10S/c20-9(18(30)31)1-2-14(25)23-11(17(29)22-6-15(26)27)7-34-13-5-8(3-10(21)19(32)33)4-12(24)16(13)28/h4-5,9-11,24,28H,1-3,6-7,20-21H2,(H,22,29)(H,23,25)(H,26,27)(H,30,31)(H,32,33)/p-1/t9-,10?,11-/m0/s1",C(CC(=N[C@@H](CSc1cc(CC(C(=O)O)N)cc(c1O)[O-])C(=NCC(=O)O)O)O)[C@@H](C(=O)O)N
CE5144,InChIKey=ASKKPQKSCFYPPP-UHFFFAOYSA-J,"InChI=1S/C41H70N7O18P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-29(49)24-32(51)70-23-22-43-31(50)20-21-44-39(54)36(53)41(2,3)26-63-69(60,61)66-68(58,59)62-25-30-35(65-67(55,56)57)34(52)40(64-30)48-28-47-33-37(42)45-27-46-38(33)48/h11-12,27-28,30,34-36,40,52-53H,4-10,13-26H2,1-3H3,(H,43,50)(H,44,54)(H,58,59)(H,60,61)(H2,42,45,46)(H2,55,56,57)/p-4",CCCCCCCC/C=C\CCCCCCCC(=O)CC(=O)SCCN=C(CCN=C(C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C([C@@H](n2cnc3c(N)ncnc23)O1)O)OP(=O)([O-])[O-])O)[O-])[O-]
